 format: day,hour,forecast,value  location:102_83 Start : 20160301 
 4,2000,+19,80.000000 
 4,2000,+22,71.000000 
 4,2000,+25,60.000000 
 4,2000,+28,60.000000 
 4,2000,+31,20.000000 
 4,2000,+34,10.000000 
 4,2000,+37,10.000000 
 4,2000,+40,10.000000 
 4,2000,+43,10.000000 
 4,2000,+46,10.000000 
 4,2000,+49,10.000000 
 4,2000,+52,10.000000 
 4,2000,+55,10.000000 
 4,2000,+58,10.000000 
 4,2000,+61,10.000000 
 4,2000,+64,10.000000 
 4,2000,+67,10.000000 
 4,2300,+4,30.000000 
 4,2300,+7,61.000000 
 4,2300,+10,72.000000 
 4,2300,+13,81.000000 
 4,2300,+16,80.000000 
 4,2300,+19,71.000000 
 4,2300,+22,60.000000 
 4,2300,+25,60.000000 
 4,2300,+28,20.000000 
 4,2300,+31,10.000000 
 4,2300,+34,10.000000 
 4,2300,+37,10.000000 
 4,2300,+40,10.000000 
 4,2300,+43,10.000000 
 4,2300,+46,10.000000 
 4,2300,+49,10.000000 
 4,2300,+52,10.000000 
 4,2300,+55,10.000000 
 4,2300,+58,10.000000 
 4,2300,+61,10.000000 
 4,2300,+64,10.000000 
 5,0200,+4,62.000000 
 5,0200,+7,73.000000 
 5,0200,+10,81.000000 
 5,0200,+13,81.000000 
 5,0200,+16,73.000000 
 5,0200,+19,62.000000 
 5,0200,+22,60.000000 
 5,0200,+25,20.000000 
 5,0200,+28,10.000000 
 5,0200,+31,10.000000 
 5,0200,+34,10.000000 
 5,0200,+37,10.000000 
 5,0200,+40,10.000000 
 5,0200,+43,10.000000 
 5,0200,+46,10.000000 
 5,0200,+49,10.000000 
 5,0200,+52,10.000000 
 5,0200,+55,10.000000 
 5,0200,+58,10.000000 
 5,0200,+61,10.000000 
 5,0500,+4,73.000000 
 5,0500,+7,81.000000 
 5,0500,+10,81.000000 
 5,0500,+13,73.000000 
 5,0500,+16,62.000000 
 5,0500,+19,60.000000 
 5,0500,+22,20.000000 
 5,0500,+25,10.000000 
 5,0500,+28,10.000000 
 5,0500,+31,10.000000 
 5,0500,+34,10.000000 
 5,0500,+37,10.000000 
 5,0500,+40,10.000000 
 5,0500,+43,10.000000 
 5,0500,+46,10.000000 
 5,0500,+49,10.000000 
 5,0500,+52,10.000000 
 5,0500,+55,10.000000 
 5,0500,+58,10.000000 
 5,0800,+4,81.000000 
 5,0800,+7,81.000000 
 5,0800,+10,73.000000 
 5,0800,+13,62.000000 
 5,0800,+16,62.000000 
 5,0800,+19,20.000000 
 5,0800,+22,10.000000 
 5,0800,+25,10.000000 
 5,0800,+28,10.000000 
 5,0800,+31,10.000000 
 5,0800,+34,10.000000 
 5,0800,+37,10.000000 
 5,0800,+40,10.000000 
 5,0800,+43,10.000000 
 5,0800,+46,10.000000 
 5,0800,+49,10.000000 
 5,0800,+52,10.000000 
 5,0800,+55,10.000000 
 5,1100,+4,81.000000 
 5,1100,+7,73.000000 
 5,1100,+10,62.000000 
 5,1100,+13,62.000000 
 5,1100,+16,20.000000 
 5,1100,+19,10.000000 
 5,1100,+22,10.000000 
 5,1100,+25,10.000000 
 5,1100,+28,10.000000 
 5,1100,+31,10.000000 
 5,1100,+34,10.000000 
 5,1100,+37,10.000000 
 5,1100,+40,10.000000 
 5,1100,+43,10.000000 
 5,1100,+46,10.000000 
 5,1100,+49,10.000000 
 5,1100,+52,10.000000 
 5,1400,+4,71.000000 
 5,1400,+7,60.000000 
 5,1400,+10,61.000000 
 5,1400,+13,20.000000 
 5,1400,+16,10.000000 
 5,1400,+19,10.000000 
 5,1400,+22,10.000000 
 5,1400,+25,10.000000 
 5,1400,+28,10.000000 
 5,1400,+31,10.000000 
 5,1400,+34,10.000000 
 5,1400,+37,10.000000 
 5,1400,+40,10.000000 
 5,1400,+43,10.000000 
 5,1400,+46,10.000000 
 5,1400,+49,10.000000 
 5,1700,+4,60.000000 
 5,1700,+7,61.000000 
 5,1700,+10,20.000000 
 5,1700,+13,10.000000 
 5,1700,+16,10.000000 
 5,1700,+19,10.000000 
 5,1700,+22,10.000000 
 5,1700,+25,10.000000 
 5,1700,+28,10.000000 
 5,1700,+31,10.000000 
 5,1700,+34,10.000000 
 5,1700,+37,10.000000 
 5,1700,+40,10.000000 
 5,1700,+43,10.000000 
 5,1700,+46,10.000000 
 5,2000,+4,60.000000 
 5,2000,+7,20.000000 
 5,2000,+10,10.000000 
 5,2000,+13,10.000000 
 5,2000,+16,10.000000 
 5,2000,+19,10.000000 
 5,2000,+22,10.000000 
 5,2000,+25,10.000000 
 5,2000,+28,10.000000 
 5,2000,+31,10.000000 
 5,2000,+34,10.000000 
 5,2000,+37,10.000000 
 5,2000,+40,10.000000 
 5,2000,+43,10.000000 
 5,2000,+46,20.000000 
 5,2000,+49,20.000000 
 5,2000,+52,20.000000 
 5,2000,+55,20.000000 
 5,2000,+58,30.000000 
 5,2000,+61,30.000000 
 5,2000,+64,30.000000 
 5,2000,+67,30.000000 
 5,2300,+4,20.000000 
 5,2300,+7,10.000000 
 5,2300,+10,10.000000 
 5,2300,+13,10.000000 
 5,2300,+16,10.000000 
 5,2300,+19,10.000000 
 5,2300,+22,10.000000 
 5,2300,+25,10.000000 
 5,2300,+28,10.000000 
 5,2300,+31,10.000000 
 5,2300,+34,10.000000 
 5,2300,+37,10.000000 
 5,2300,+40,10.000000 
 5,2300,+43,20.000000 
 5,2300,+46,20.000000 
 5,2300,+49,20.000000 
 5,2300,+52,20.000000 
 5,2300,+55,30.000000 
 5,2300,+58,30.000000 
 5,2300,+61,30.000000 
 5,2300,+64,30.000000 
 6,0200,+4,10.000000 
 6,0200,+7,10.000000 
 6,0200,+10,10.000000 
 6,0200,+13,10.000000 
 6,0200,+16,10.000000 
 6,0200,+19,10.000000 
 6,0200,+22,10.000000 
 6,0200,+25,10.000000 
 6,0200,+28,10.000000 
 6,0200,+31,10.000000 
 6,0200,+34,10.000000 
 6,0200,+37,10.000000 
 6,0200,+40,20.000000 
 6,0200,+43,20.000000 
 6,0200,+46,20.000000 
 6,0200,+49,20.000000 
 6,0200,+52,30.000000 
 6,0200,+55,30.000000 
 6,0200,+58,30.000000 
 6,0200,+61,30.000000 
 6,0500,+4,10.000000 
 6,0500,+7,10.000000 
 6,0500,+10,10.000000 
 6,0500,+13,10.000000 
 6,0500,+16,10.000000 
 6,0500,+19,10.000000 
 6,0500,+22,10.000000 
 6,0500,+25,10.000000 
 6,0500,+28,10.000000 
 6,0500,+31,10.000000 
 6,0500,+34,10.000000 
 6,0500,+37,20.000000 
 6,0500,+40,20.000000 
 6,0500,+43,20.000000 
 6,0500,+46,20.000000 
 6,0500,+49,30.000000 
 6,0500,+52,30.000000 
 6,0500,+55,30.000000 
 6,0500,+58,30.000000 
 6,0800,+4,10.000000 
 6,0800,+7,10.000000 
 6,0800,+10,10.000000 
 6,0800,+13,10.000000 
 6,0800,+16,10.000000 
 6,0800,+19,10.000000 
 6,0800,+22,10.000000 
 6,0800,+25,10.000000 
 6,0800,+28,10.000000 
 6,0800,+31,10.000000 
 6,0800,+34,20.000000 
 6,0800,+37,20.000000 
 6,0800,+40,20.000000 
 6,0800,+43,20.000000 
 6,0800,+46,20.000000 
 6,0800,+49,30.000000 
 6,0800,+52,30.000000 
 6,0800,+55,30.000000 
 6,1100,+4,10.000000 
 6,1100,+7,10.000000 
 6,1100,+10,10.000000 
 6,1100,+13,10.000000 
 6,1100,+16,10.000000 
 6,1100,+19,10.000000 
 6,1100,+22,10.000000 
 6,1100,+25,10.000000 
 6,1100,+28,10.000000 
 6,1100,+31,20.000000 
 6,1100,+34,20.000000 
 6,1100,+37,20.000000 
 6,1100,+40,20.000000 
 6,1100,+43,20.000000 
 6,1100,+46,30.000000 
 6,1100,+49,30.000000 
 6,1100,+52,30.000000 
 6,1400,+4,10.000000 
 6,1400,+7,10.000000 
 6,1400,+10,10.000000 
 6,1400,+13,10.000000 
 6,1400,+16,10.000000 
 6,1400,+19,10.000000 
 6,1400,+22,10.000000 
 6,1400,+25,10.000000 
 6,1400,+28,20.000000 
 6,1400,+31,20.000000 
 6,1400,+34,20.000000 
 6,1400,+37,20.000000 
 6,1400,+40,20.000000 
 6,1400,+43,30.000000 
 6,1400,+46,30.000000 
 6,1400,+49,30.000000 
 6,1700,+4,10.000000 
 6,1700,+7,10.000000 
 6,1700,+10,10.000000 
 6,1700,+13,10.000000 
 6,1700,+16,10.000000 
 6,1700,+19,10.000000 
 6,1700,+22,10.000000 
 6,1700,+25,20.000000 
 6,1700,+28,20.000000 
 6,1700,+31,20.000000 
 6,1700,+34,20.000000 
 6,1700,+37,20.000000 
 6,1700,+40,30.000000 
 6,1700,+43,30.000000 
 6,1700,+46,30.000000 
 6,2000,+4,10.000000 
 6,2000,+7,10.000000 
 6,2000,+10,10.000000 
 6,2000,+13,10.000000 
 6,2000,+16,9.000000 
 6,2000,+19,9.000000 
 6,2000,+22,20.000000 
 6,2000,+25,20.000000 
 6,2000,+28,30.000000 
 6,2000,+31,30.000000 
 6,2000,+34,30.000000 
 6,2000,+37,30.000000 
 6,2000,+40,30.000000 
 6,2000,+43,30.000000 
 6,2000,+46,30.000000 
 6,2000,+49,30.000000 
 6,2000,+52,30.000000 
 6,2000,+55,30.000000 
 6,2000,+58,30.000000 
 6,2000,+61,19.000000 
 6,2000,+64,10.000000 
 6,2000,+67,10.000000 
 6,2300,+4,10.000000 
 6,2300,+7,10.000000 
 6,2300,+10,10.000000 
 6,2300,+13,9.000000 
 6,2300,+16,9.000000 
 6,2300,+19,20.000000 
 6,2300,+22,20.000000 
 6,2300,+25,30.000000 
 6,2300,+28,30.000000 
 6,2300,+31,30.000000 
 6,2300,+34,30.000000 
 6,2300,+37,30.000000 
 6,2300,+40,30.000000 
 6,2300,+43,30.000000 
 6,2300,+46,30.000000 
 6,2300,+49,30.000000 
 6,2300,+52,30.000000 
 6,2300,+55,30.000000 
 6,2300,+58,19.000000 
 6,2300,+61,10.000000 
 6,2300,+64,10.000000 
 7,0200,+4,10.000000 
 7,0200,+7,10.000000 
 7,0200,+10,9.000000 
 7,0200,+13,9.000000 
 7,0200,+16,20.000000 
 7,0200,+19,20.000000 
 7,0200,+22,30.000000 
 7,0200,+25,30.000000 
 7,0200,+28,30.000000 
 7,0200,+31,30.000000 
 7,0200,+34,30.000000 
 7,0200,+37,30.000000 
 7,0200,+40,30.000000 
 7,0200,+43,30.000000 
 7,0200,+46,30.000000 
 7,0200,+49,30.000000 
 7,0200,+52,30.000000 
 7,0200,+55,20.000000 
 7,0200,+58,10.000000 
 7,0200,+61,9.000000 
 7,0500,+4,10.000000 
 7,0500,+7,10.000000 
 7,0500,+10,10.000000 
 7,0500,+13,20.000000 
 7,0500,+16,20.000000 
 7,0500,+19,30.000000 
 7,0500,+22,30.000000 
 7,0500,+25,30.000000 
 7,0500,+28,30.000000 
 7,0500,+31,30.000000 
 7,0500,+34,30.000000 
 7,0500,+37,30.000000 
 7,0500,+40,30.000000 
 7,0500,+43,30.000000 
 7,0500,+46,30.000000 
 7,0500,+49,30.000000 
 7,0500,+52,20.000000 
 7,0500,+55,10.000000 
 7,0500,+58,9.000000 
 7,0800,+4,10.000000 
 7,0800,+7,10.000000 
